date,subsite,week,tide,SurveyID,count,area
12/03/2017,1,10,low,10_low,14,3.26
12/03/2017,2,10,low,10_low,0,3.49
12/03/2017,3,10,low,10_low,0,4.47
12/03/2017,4,10,low,10_low,0,2.34
12/03/2017,5,10,low,10_low,0,1.65
12/03/2017,6,10,low,10_low,0,0.83
20/03/2017,1,12,low,12_low,0,3.26
20/03/2017,2,12,low,12_low,38,3.49
20/03/2017,3,12,low,12_low,0,4.47
20/03/2017,4,12,low,12_low,0,2.34
20/03/2017,5,12,low,12_low,0,1.65
20/03/2017,6,12,low,12_low,0,0.83
21/03/2017,1,12,rising,12_rising,31,3.26
21/03/2017,2,12,rising,12_rising,0,3.49
21/03/2017,3,12,rising,12_rising,0,4.47
21/03/2017,4,12,rising,12_rising,0,2.34
21/03/2017,5,12,rising,12_rising,0,1.65
21/03/2017,6,12,rising,12_rising,0,0.83
27/03/2017,1,13,low,13_low,2,3.26
27/03/2017,2,13,low,13_low,33,3.49
27/03/2017,3,13,low,13_low,0,4.47
27/03/2017,4,13,low,13_low,16,2.34
27/03/2017,5,13,low,13_low,59,1.65
27/03/2017,6,13,low,13_low,0,0.83
28/03/2017,1,13,rising,13_rising,2,3.26
28/03/2017,2,13,rising,13_rising,137,3.49
28/03/2017,3,13,rising,13_rising,24,4.47
28/03/2017,4,13,rising,13_rising,14,2.34
28/03/2017,5,13,rising,13_rising,0,1.65
28/03/2017,6,13,rising,13_rising,0,0.83
03/04/2017,1,14,low,14_low,39,3.26
03/04/2017,2,14,low,14_low,189,3.49
03/04/2017,3,14,low,14_low,8,4.47
03/04/2017,4,14,low,14_low,2,2.34
03/04/2017,5,14,low,14_low,15,1.65
03/04/2017,6,14,low,14_low,0,0.83
04/04/2017,1,14,rising,14_rising,88,3.26
04/04/2017,2,14,rising,14_rising,124,3.49
04/04/2017,3,14,rising,14_rising,0,4.47
04/04/2017,4,14,rising,14_rising,1,2.34
04/04/2017,5,14,rising,14_rising,23,1.65
04/04/2017,6,14,rising,14_rising,0,0.83
11/04/2017,1,15,rising,15_rising,53,3.26
11/04/2017,2,15,rising,15_rising,176,3.49
11/04/2017,3,15,rising,15_rising,20,4.47
11/04/2017,4,15,rising,15_rising,6,2.34
11/04/2017,5,15,rising,15_rising,0,1.65
11/04/2017,6,15,rising,15_rising,0,0.83
12/04/2017,1,15,low,15_low,14,3.26
12/04/2017,2,15,low,15_low,196,3.49
12/04/2017,3,15,low,15_low,0,4.47
12/04/2017,4,15,low,15_low,0,2.34
12/04/2017,5,15,low,15_low,0,1.65
12/04/2017,6,15,low,15_low,0,0.83
17/04/2017,1,16,rising,16_rising,53,3.26
17/04/2017,2,16,rising,16_rising,136,3.49
17/04/2017,3,16,rising,16_rising,2,4.47
17/04/2017,4,16,rising,16_rising,0,2.34
17/04/2017,5,16,rising,16_rising,3,1.65
